element,kind,count
http://bio2rdf.org/drugbank_vocabulary:Drug,type,5049
http://bio2rdf.org/pharmgkb_vocabulary:Disease,type,840
http://bio2rdf.org/omim_vocabulary:Gene,type,832
http://bio2rdf.org/omim_vocabulary:Phenotype,type,641
http://bio2rdf.org/drugbank_vocabulary:Target,type,485
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,type,377
http://bio2rdf.org/kegg_vocabulary:Pathway,type,350
http://bio2rdf.org/pharmgkb_vocabulary:Drug,type,285
http://bio2rdf.org/ctd_vocabulary:Gene-Disease-Association,type,233
http://bio2rdf.org/pharmgkb_vocabulary:Gene,type,199
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,type,150
http://bio2rdf.org/kegg_vocabulary:Reaction,type,140
http://bio2rdf.org/kegg_vocabulary:Drug,type,131
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,type,124
http://bio2rdf.org/affymetrix_vocabulary:Probeset,type,116
http://bio2rdf.org/ctd_vocabulary:Gene,type,114
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,type,108
http://bio2rdf.org/kegg_vocabulary:Enzyme,type,98
http://bio2rdf.org/ctd_vocabulary:Disease,type,97
http://bio2rdf.org/drugbank_vocabulary:Patent,type,87
http://bio2rdf.org/ncbigene_vocabulary:Gene,type,83
http://bio2rdf.org/ctd_vocabulary:Chemical-Disease-Association,type,82
http://bio2rdf.org/kegg_vocabulary:Compound,type,80
http://bio2rdf.org/ctd_vocabulary:Chemical,type,77
http://bio2rdf.org/wormbase_vocabulary:Gene-Phenotype-Association,type,66
http://bio2rdf.org/ctd_vocabulary:Chemical-Gene-Association,type,66
http://bio2rdf.org/drugbank_vocabulary:SMILES,type,66
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,type,61
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,type,55
http://bio2rdf.org/ndc_vocabulary:Product,type,54
http://bio2rdf.org/wormbase_vocabulary:Gene,type,54
http://bio2rdf.org/sgd_vocabulary:Protein,type,53
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,type,52
