anchor_qid	anchor_label	query_text
Q223557	physical object	"SELECT ?var1 ?var1Label WHERE { ?var1 <http://www.wikidata.org/prop/direct/P31> ?var2 . ?var2 <http://www.wikidata.org/prop/direct/P279> * <http://www.wikidata.org/entity/Q223557> . SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""fr,fr"". } } LIMIT 10000"
Q223557	physical object	SELECT( COUNT ( ?var1 ) AS ?var2 ) WHERE { ?var1 <http://www.wikidata.org/prop/direct/P279> * <http://www.wikidata.org/entity/Q223557> . }
Q35120	entity	"SELECT ?var1 ?var1Label ?var2Label WHERE { { SELECT ?var1 WHERE { ?var1 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 100000 } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	"SELECT ?var1 ?var1Label ?var2Label WHERE { { SELECT ?var1 WHERE { ?var3 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . ?var1 <http://www.wikidata.org/prop/direct/P31> ?var3 . } LIMIT 100000 } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	SELECT ?var1 ?var2 WHERE { { SELECT ?var1 WHERE { ?var1 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . ?var1 ?var2 ?var3 . } LIMIT 10 } }
Q35120	entity	"SELECT ?var1 ?var2Label ?var3 WHERE { { SELECT ?var2 WHERE { ?var2 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 1000 } OPTIONAL { ?var2 <http://www.w3.org/2000/01/rdf-schema#label> ?var1 . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } OPTIONAL { ?var4 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://wikiba.se/ontology#Property> . ?var4 <http://www.w3.org/2004/02/skos/core#altLabel> ?var3 . FILTER ( ( ( ?var5 > ""1""^^<http://www.w3.org/2001/XMLSchema#integer> ) ) ) . } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	"SELECT ?var1 ?var2Label ?var3Label WHERE { { SELECT ?var2 WHERE { ?var2 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 100 } OPTIONAL { ?var2 <http://www.w3.org/2000/01/rdf-schema#label> ?var1 . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } OPTIONAL { ?var2 <http://www.w3.org/2004/02/skos/core#altLabel> ?var3Label . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	"SELECT ?var1 ?var2Label ?var3Label WHERE { { SELECT ?var2 WHERE { ?var2 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 1000 } OPTIONAL { ?var2 <http://www.w3.org/2000/01/rdf-schema#label> ?var1 . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } OPTIONAL { ?var2 <http://www.w3.org/2004/02/skos/core#altLabel> ?var3Label . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	"SELECT ?var1 ?var2Label ?var3Label WHERE { { SELECT ?var2 WHERE { ?var2 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 10000 } OPTIONAL { ?var2 <http://www.w3.org/2000/01/rdf-schema#label> ?var1 . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } OPTIONAL { ?var2 <http://www.w3.org/2004/02/skos/core#altLabel> ?var3Label . FILTER ( ( ( LANG ( ?var1 ) = ""en"" ) ) ) . } SERVICE <http://wikiba.se/ontology#label> { <http://www.bigdata.com/rdf#serviceParam> <http://wikiba.se/ontology#language> ""en"". } }"
Q35120	entity	"SELECT ?var1 ?var2Label WHERE { { SELECT ?var1 WHERE { ?var1 <http://www.wikidata.org/prop/direct/P279> + <http://www.wikidata.org/entity/Q35120> . } LIMIT 10000 } ?var1 <http://www.w3.org/2004/02/skos/core#altLabel> ?var2Label . FILTER ( ( ( LANG ( ?var3 ) = ""en"" ) ) ) . }"
