Class1,Predicate,Class2
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://bio2rdf.org/goa_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/2002/07/owl#equivalentClass,http://bio2rdf.org/chebi_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/2002/07/owl#equivalentClass,http://bio2rdf.org/so_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/2002/07/owl#sameAs,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://www.w3.org/2002/07/owl#sameAs,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://rdfs.org/ns/void#inDataset,http://purl.org/dc/terms/Dataset
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:evidence,http://bio2rdf.org/eco_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:go-term,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:target,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:target,http://bio2rdf.org/sgd_vocabulary:RNA
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/goa_vocabulary:target,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:x-ec,http://bio2rdf.org/ec_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:x-ec,http://bio2rdf.org/sgd_vocabulary:Reaction
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:x-gi,http://bio2rdf.org/gi_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:x-ncbigene,http://bio2rdf.org/ncbigene_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:x-refseq,http://bio2rdf.org/refseq_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:chromosome,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:chromosome,http://bio2rdf.org/sgd_vocabulary:Chromosome
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:encodes,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:encodes,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:encodes,http://bio2rdf.org/sgd_vocabulary:RNA
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-about,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-about,http://bio2rdf.org/so:0000236
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-about,http://bio2rdf.org/so:0000336
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-about,http://bio2rdf.org/so:0000830
