Schema Element,TotalCount
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,18
http://bio2rdf.org/affymetrix_vocabulary:Probeset,986
http://bio2rdf.org/affymetrix_vocabulary:genechip-array,15
http://bio2rdf.org/ctd_vocabulary:Chemical,502
http://bio2rdf.org/ctd_vocabulary:Chemical-Disease-Association,130
http://bio2rdf.org/ctd_vocabulary:Chemical-Gene-Association,153
http://bio2rdf.org/ctd_vocabulary:Chemical-Pathway-Association,24
http://bio2rdf.org/ctd_vocabulary:Disease,331
http://bio2rdf.org/ctd_vocabulary:Gene,381
http://bio2rdf.org/ctd_vocabulary:Pathway,23
http://bio2rdf.org/ctd_vocabulary:chemical,451
http://bio2rdf.org/ctd_vocabulary:disease,1079
http://bio2rdf.org/ctd_vocabulary:gene,1234
http://bio2rdf.org/ctd_vocabulary:pathway,624
http://bio2rdf.org/drugbank_vocabulary:Absorption,244
http://bio2rdf.org/drugbank_vocabulary:Affected-organism,194
http://bio2rdf.org/drugbank_vocabulary:Bioavailability,236
http://bio2rdf.org/drugbank_vocabulary:Biotech,1
http://bio2rdf.org/drugbank_vocabulary:Boiling-Point,242
http://bio2rdf.org/drugbank_vocabulary:Caco2-Permeability,202
http://bio2rdf.org/drugbank_vocabulary:Carrier,238
http://bio2rdf.org/drugbank_vocabulary:Carrier-Relation,176
http://bio2rdf.org/drugbank_vocabulary:Category,251
http://bio2rdf.org/drugbank_vocabulary:Clearance,244
http://bio2rdf.org/drugbank_vocabulary:Country,43
http://bio2rdf.org/drugbank_vocabulary:Dosage,8
http://bio2rdf.org/drugbank_vocabulary:Drug,14789
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,1380
http://bio2rdf.org/drugbank_vocabulary:Enzyme,272
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,175
http://bio2rdf.org/drugbank_vocabulary:Experimental-properties,1
http://bio2rdf.org/drugbank_vocabulary:Food-interaction,236
http://bio2rdf.org/drugbank_vocabulary:Form,5
http://bio2rdf.org/drugbank_vocabulary:Ghose-Filter,249
http://bio2rdf.org/drugbank_vocabulary:Group,194
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Acceptor-Count,241
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Donor-Count,259
http://bio2rdf.org/drugbank_vocabulary:Half-life,234
http://bio2rdf.org/drugbank_vocabulary:Hydrophobicity,231
http://bio2rdf.org/drugbank_vocabulary:IUPAC-Name,250
http://bio2rdf.org/drugbank_vocabulary:InChI,257
http://bio2rdf.org/drugbank_vocabulary:InChIKey,239
http://bio2rdf.org/drugbank_vocabulary:Indication,252
http://bio2rdf.org/drugbank_vocabulary:Ingredient,1
http://bio2rdf.org/drugbank_vocabulary:Isoelectric-Point,217
http://bio2rdf.org/drugbank_vocabulary:LogP,263
http://bio2rdf.org/drugbank_vocabulary:LogS,255
http://bio2rdf.org/drugbank_vocabulary:MDDR-Like-Rule,252
