Schema Element,TotalCount
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,4
http://bio2rdf.org/affymetrix_vocabulary:Probeset,11
http://bio2rdf.org/clinicaltrials_vocabulary:Address,4
http://bio2rdf.org/clinicaltrials_vocabulary:Biological,1
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Arm,1
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,15
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,12
http://bio2rdf.org/clinicaltrials_vocabulary:Event-Count,4
http://bio2rdf.org/clinicaltrials_vocabulary:Genetic,2
http://bio2rdf.org/clinicaltrials_vocabulary:Link,8
http://bio2rdf.org/clinicaltrials_vocabulary:Reference,1
http://bio2rdf.org/clinicaltrials_vocabulary:Study-Design,4
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:secondary-outcome,1
http://bio2rdf.org/clinicaltrials_vocabulary:condition-mesh,10
http://bio2rdf.org/clinicaltrials_vocabulary:country,5
http://bio2rdf.org/clinicaltrials_vocabulary:intervention,16
http://bio2rdf.org/clinicaltrials_vocabulary:intervention-browse,5
http://bio2rdf.org/clinicaltrials_vocabulary:link,1
http://bio2rdf.org/clinicaltrials_vocabulary:overall-status,5
http://bio2rdf.org/clinicaltrials_vocabulary:phase,8
http://bio2rdf.org/ctd_vocabulary:Gene,5
http://bio2rdf.org/ctd_vocabulary:Gene-Disease-Association,37
http://bio2rdf.org/ctd_vocabulary:disease,1
http://bio2rdf.org/ctd_vocabulary:gene,1
http://bio2rdf.org/ctd_vocabulary:pathway,2
http://bio2rdf.org/drugbank_vocabulary:Affected-organism,1
http://bio2rdf.org/drugbank_vocabulary:Boiling-Point,1
http://bio2rdf.org/drugbank_vocabulary:Carrier-Relation,2
http://bio2rdf.org/drugbank_vocabulary:Drug,159
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,2
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,22
http://bio2rdf.org/drugbank_vocabulary:Food-interaction,2
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Acceptor-Count,1
http://bio2rdf.org/drugbank_vocabulary:Polarizability,3
http://bio2rdf.org/drugbank_vocabulary:Small-molecule,12
http://bio2rdf.org/drugbank_vocabulary:Target-Relation,2
http://bio2rdf.org/drugbank_vocabulary:affected-organism,2
http://bio2rdf.org/drugbank_vocabulary:brand,4
http://bio2rdf.org/drugbank_vocabulary:calculated-properties,5
http://bio2rdf.org/drugbank_vocabulary:carrier,2
http://bio2rdf.org/drugbank_vocabulary:category,20
http://bio2rdf.org/drugbank_vocabulary:clearance,1
http://bio2rdf.org/drugbank_vocabulary:country,1
http://bio2rdf.org/drugbank_vocabulary:ddi-interactor-in,2
http://bio2rdf.org/drugbank_vocabulary:dosage,9
http://bio2rdf.org/drugbank_vocabulary:drug,35
http://bio2rdf.org/drugbank_vocabulary:drug-classification-category,14
http://bio2rdf.org/drugbank_vocabulary:enzyme,19
http://bio2rdf.org/drugbank_vocabulary:experimental-properties,2
http://bio2rdf.org/drugbank_vocabulary:food-interaction,1
http://bio2rdf.org/drugbank_vocabulary:group,6
http://bio2rdf.org/drugbank_vocabulary:indication,5
http://bio2rdf.org/drugbank_vocabulary:manufacturer,1
http://bio2rdf.org/drugbank_vocabulary:patent,1
http://bio2rdf.org/drugbank_vocabulary:product,2
http://bio2rdf.org/drugbank_vocabulary:synonym,2
http://bio2rdf.org/drugbank_vocabulary:target,23
http://bio2rdf.org/drugbank_vocabulary:toxicity,4
http://bio2rdf.org/drugbank_vocabulary:transporter,1
http://bio2rdf.org/drugbank_vocabulary:volume-of-distribution,1
http://bio2rdf.org/goa_vocabulary:GO-Annotation,4
http://bio2rdf.org/homologene_vocabulary:Homologene-Group,1
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,4
http://bio2rdf.org/irefindex_vocabulary:interactor_a,2
http://bio2rdf.org/irefindex_vocabulary:interactor_b,2
http://bio2rdf.org/kegg_vocabulary:Disease,3
http://bio2rdf.org/kegg_vocabulary:Drug,3
http://bio2rdf.org/kegg_vocabulary:Gene,14
http://bio2rdf.org/kegg_vocabulary:Pathway,2
http://bio2rdf.org/kegg_vocabulary:disease,6
http://bio2rdf.org/kegg_vocabulary:drug,1
http://bio2rdf.org/kegg_vocabulary:gene,2
http://bio2rdf.org/kegg_vocabulary:pathway,15
http://bio2rdf.org/kegg_vocabulary:product,1
http://bio2rdf.org/kegg_vocabulary:same-as,1
http://bio2rdf.org/mgi_vocabulary:Gene,7
http://bio2rdf.org/mgi_vocabulary:allele,2
http://bio2rdf.org/mgi_vocabulary:marker,8
http://bio2rdf.org/ncbigene_vocabulary:Gene,22
http://bio2rdf.org/ncbigene_vocabulary:Protein-coding-Gene,32
http://bio2rdf.org/ncbigene_vocabulary:gene,6
http://bio2rdf.org/ncbigene_vocabulary:gene-component-association,1
http://bio2rdf.org/omim_vocabulary:Gene,8
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,4
http://bio2rdf.org/omim_vocabulary:Phenotype,21
http://bio2rdf.org/omim_vocabulary:clinical-synopsis,24
http://bio2rdf.org/omim_vocabulary:feature,24
http://bio2rdf.org/omim_vocabulary:phenotype-map,6
http://bio2rdf.org/omim_vocabulary:refers-to,3
http://bio2rdf.org/pharmgkb_vocabulary:Drug,23
http://bio2rdf.org/pharmgkb_vocabulary:Gene,34
http://bio2rdf.org/pharmgkb_vocabulary:Variation,72
http://bio2rdf.org/pharmgkb_vocabulary:disease,44
http://bio2rdf.org/pharmgkb_vocabulary:disease-gene-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:drug,2
http://bio2rdf.org/pharmgkb_vocabulary:drug-gene-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:drug-haplotype-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:drug-variantlocation-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:gene,45
http://bio2rdf.org/pharmgkb_vocabulary:gene-disease-Association,42
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-disease-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation,1
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-drug-Association,4
http://bio2rdf.org/sgd_vocabulary:Domain-Alignment,34
http://bio2rdf.org/sgd_vocabulary:Location,32
http://bio2rdf.org/sgd_vocabulary:Pathway,1
http://bio2rdf.org/sgd_vocabulary:Phenotype_Experiment,33
http://bio2rdf.org/sgd_vocabulary:Protein,43
http://bio2rdf.org/sgd_vocabulary:Record,33
http://bio2rdf.org/sgd_vocabulary:SequenceLength,6
http://bio2rdf.org/wormbase_vocabulary:Gene,1
http://bio2rdf.org/wormbase_vocabulary:RNAi,1
