Schema Element,TotalCount
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,35
http://bio2rdf.org/affymetrix_vocabulary:Probeset,208
http://bio2rdf.org/affymetrix_vocabulary:genechip-array,19
http://bio2rdf.org/clinicaltrials_vocabulary:Active_Comparator,50
http://bio2rdf.org/clinicaltrials_vocabulary:Address,42
http://bio2rdf.org/clinicaltrials_vocabulary:Analysis,81
http://bio2rdf.org/clinicaltrials_vocabulary:Baseline,38
http://bio2rdf.org/clinicaltrials_vocabulary:Behavioral,53
http://bio2rdf.org/clinicaltrials_vocabulary:Biological,56
http://bio2rdf.org/clinicaltrials_vocabulary:Case,42
http://bio2rdf.org/clinicaltrials_vocabulary:Category,36
http://bio2rdf.org/clinicaltrials_vocabulary:City,72
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Arm,50
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Result,33
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,307
http://bio2rdf.org/clinicaltrials_vocabulary:Contact,79
http://bio2rdf.org/clinicaltrials_vocabulary:Control,40
http://bio2rdf.org/clinicaltrials_vocabulary:Country,39
http://bio2rdf.org/clinicaltrials_vocabulary:Device,53
http://bio2rdf.org/clinicaltrials_vocabulary:Dietary_Supplement,55
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,60
http://bio2rdf.org/clinicaltrials_vocabulary:Eligibility,86
http://bio2rdf.org/clinicaltrials_vocabulary:Event,32
http://bio2rdf.org/clinicaltrials_vocabulary:Event-Count,54
http://bio2rdf.org/clinicaltrials_vocabulary:Experimental,50
http://bio2rdf.org/clinicaltrials_vocabulary:Genetic,57
http://bio2rdf.org/clinicaltrials_vocabulary:Group,51
http://bio2rdf.org/clinicaltrials_vocabulary:Inclusion-Criteria,73
http://bio2rdf.org/clinicaltrials_vocabulary:Link,30
http://bio2rdf.org/clinicaltrials_vocabulary:Location,583
http://bio2rdf.org/clinicaltrials_vocabulary:Measure,48
http://bio2rdf.org/clinicaltrials_vocabulary:Measurement,47
http://bio2rdf.org/clinicaltrials_vocabulary:Milestone,36
http://bio2rdf.org/clinicaltrials_vocabulary:No_Intervention,50
http://bio2rdf.org/clinicaltrials_vocabulary:Organization,75
http://bio2rdf.org/clinicaltrials_vocabulary:Other,80
http://bio2rdf.org/clinicaltrials_vocabulary:Other-Event,41
http://bio2rdf.org/clinicaltrials_vocabulary:Outcome,56
http://bio2rdf.org/clinicaltrials_vocabulary:Participant-Count,36
http://bio2rdf.org/clinicaltrials_vocabulary:Participant-Flow,45
http://bio2rdf.org/clinicaltrials_vocabulary:Period,35
http://bio2rdf.org/clinicaltrials_vocabulary:Phase,40
http://bio2rdf.org/clinicaltrials_vocabulary:Placebo_Comparator,50
http://bio2rdf.org/clinicaltrials_vocabulary:Procedure,56
http://bio2rdf.org/clinicaltrials_vocabulary:Radiation,52
http://bio2rdf.org/clinicaltrials_vocabulary:Reference,34
http://bio2rdf.org/clinicaltrials_vocabulary:Reported-Events,45
http://bio2rdf.org/clinicaltrials_vocabulary:Responsible-Party,57
http://bio2rdf.org/clinicaltrials_vocabulary:Serious-Event,42
http://bio2rdf.org/clinicaltrials_vocabulary:Sham_Comparator,50
http://bio2rdf.org/clinicaltrials_vocabulary:State,64
http://bio2rdf.org/clinicaltrials_vocabulary:Status,36
http://bio2rdf.org/clinicaltrials_vocabulary:Study-Design,30
http://bio2rdf.org/clinicaltrials_vocabulary:Term,52
http://bio2rdf.org/clinicaltrials_vocabulary:Treatment_Comparison,33
http://bio2rdf.org/clinicaltrials_vocabulary:Withdraw-Reason,33
http://bio2rdf.org/clinicaltrials_vocabulary:ZipCode,47
