element,kind,count
http://bio2rdf.org/drugbank_vocabulary:Drug,type,3768
http://bio2rdf.org/omim_vocabulary:Gene,type,956
http://bio2rdf.org/omim_vocabulary:Phenotype,type,736
http://bio2rdf.org/drugbank_vocabulary:Target,type,472
http://bio2rdf.org/kegg_vocabulary:Pathway,type,432
http://bio2rdf.org/pharmgkb_vocabulary:Disease,type,315
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,type,315
http://bio2rdf.org/pharmgkb_vocabulary:Drug,type,269
http://bio2rdf.org/pharmgkb_vocabulary:Gene,type,206
http://bio2rdf.org/kegg_vocabulary:Reaction,type,205
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,type,205
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,type,181
http://bio2rdf.org/ctd_vocabulary:Gene-Disease-Association,type,166
http://bio2rdf.org/kegg_vocabulary:Drug,type,157
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,type,139
http://bio2rdf.org/ctd_vocabulary:Gene,type,134
http://bio2rdf.org/kegg_vocabulary:Enzyme,type,122
http://bio2rdf.org/drugbank_vocabulary:Patent,type,115
http://bio2rdf.org/kegg_vocabulary:Compound,type,100
http://bio2rdf.org/ctd_vocabulary:Chemical-Gene-Association,type,91
http://bio2rdf.org/ctd_vocabulary:Disease,type,88
http://bio2rdf.org/drugbank_vocabulary:SMILES,type,88
http://bio2rdf.org/ctd_vocabulary:Chemical,type,86
http://bio2rdf.org/clinicaltrials_vocabulary:Condition,type,86
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,type,86
http://bio2rdf.org/ctd_vocabulary:Chemical-Disease-Association,type,85
http://bio2rdf.org/ndc_vocabulary:Product,type,77
http://bio2rdf.org/wormbase_vocabulary:Gene-Phenotype-Association,type,74
http://bio2rdf.org/affymetrix_vocabulary:Probeset,type,68
http://bio2rdf.org/sgd_vocabulary:Protein,type,66
http://bio2rdf.org/ncbigene_vocabulary:Gene,type,64
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,type,64
http://bio2rdf.org/goa_vocabulary:GO-Annotation,type,64
http://bio2rdf.org/drugbank_vocabulary:Country,type,63
http://bio2rdf.org/drugbank_vocabulary:Pharmaceutical,type,62
http://bio2rdf.org/kegg_vocabulary:Gene,type,60
http://bio2rdf.org/wormbase_vocabulary:Gene,type,55
http://bio2rdf.org/drugbank_vocabulary:Category,type,50
http://bio2rdf.org/mgi_vocabulary:Gene,type,44
http://bio2rdf.org/clinicaltrials_vocabulary:Term,type,43
http://bio2rdf.org/omim_vocabulary:Allelic-Variant,type,40
http://bio2rdf.org/clinicaltrials_vocabulary:Serious-Event,type,40
http://bio2rdf.org/pharmgkb_vocabulary:disease-gene-Association,type,37
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,type,35
http://bio2rdf.org/omim_vocabulary:Clinical-Synopsis,type,34
http://bio2rdf.org/mgi_vocabulary:Marker,type,33
http://bio2rdf.org/omim_vocabulary:Predominantly-phenotypes,type,32
http://bio2rdf.org/ctd_vocabulary:Pathway,type,31
http://bio2rdf.org/clinicaltrials_vocabulary:Organization,type,30
http://bio2rdf.org/drugbank_vocabulary:Dosage,type,29
http://bio2rdf.org/ctd_vocabulary:Chemical-Pathway-Association,type,25
http://bio2rdf.org/mgi_vocabulary:Genotype,type,25
http://bio2rdf.org/mesh_vocabulary:Descriptor,type,24
http://bio2rdf.org/omim_vocabulary:Entity,type,22
http://bio2rdf.org/omim_vocabulary:Characteristic,type,22
http://bio2rdf.org/ndc_vocabulary:Pharmacological-Class,type,21
http://bio2rdf.org/drugbank_vocabulary:InChIKey,type,21
http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,type,21
http://bio2rdf.org/ndc_vocabulary:Substance,type,21
http://bio2rdf.org/kegg_vocabulary:Genome,type,20
http://bio2rdf.org/irefindex_vocabulary:Multimeric-Complex,type,19
http://bio2rdf.org/mesh_vocabulary:Pharmacological-Action,type,19
http://bio2rdf.org/drugbank_vocabulary:Biotech,type,16
http://bio2rdf.org/kegg_vocabulary:Glycan,type,16
http://bio2rdf.org/drugbank_vocabulary:IUPAC-Name,type,16
http://bio2rdf.org/drugbank_vocabulary:Food-interaction,type,16
http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,type,14
http://bio2rdf.org/kegg_vocabulary:Interaction,type,14
http://bio2rdf.org/homologene_vocabulary:Homologene-Group,type,13
http://bio2rdf.org/kegg_vocabulary:Ko,type,12
http://bio2rdf.org/ndc_vocabulary:Ingredient,type,11
http://bio2rdf.org/pharmgkb_vocabulary:drug-gene-Association,type,11
http://bio2rdf.org/drugbank_vocabulary:Route,type,10
http://bio2rdf.org/drugbank_vocabulary:Boiling-Point,type,10
http://bio2rdf.org/pharmgkb_vocabulary:gene-disease-Association,type,10
http://bio2rdf.org/drugbank_vocabulary:Indication,type,10
http://bio2rdf.org/pharmgkb_vocabulary:gene-gene-Association,type,9
http://bio2rdf.org/wormbase_vocabulary:RNAi-Knockdown-Experiment,type,8
http://bio2rdf.org/drugbank_vocabulary:Target-Relation,type,8
http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,type,8
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,type,8
http://bio2rdf.org/clinicaltrials_vocabulary:Inclusion-Criteria,type,8
http://bio2rdf.org/ndc_vocabulary:Route,type,7
http://bio2rdf.org/sgd_vocabulary:IsolectricPoint,type,7
http://bio2rdf.org/drugbank_vocabulary:Drug-Classification-Category,type,6
http://bio2rdf.org/drugbank_vocabulary:Enzyme,type,6
http://bio2rdf.org/kegg_vocabulary:Target,type,6
http://bio2rdf.org/ndc_vocabulary:Dosage-Form,type,6
http://bio2rdf.org/kegg_vocabulary:Disease,type,6
http://bio2rdf.org/mesh_vocabulary:Tree-Entry,type,5
