Schema Element,kind
http://bio2rdf.org/affymetrix_vocabulary:Genechip-Array,type
http://bio2rdf.org/affymetrix_vocabulary:Probeset,type
http://bio2rdf.org/clinicaltrials_vocabulary:Active_Comparator,type
http://bio2rdf.org/clinicaltrials_vocabulary:Address,type
http://bio2rdf.org/clinicaltrials_vocabulary:Analysis,type
http://bio2rdf.org/clinicaltrials_vocabulary:Baseline,type
http://bio2rdf.org/clinicaltrials_vocabulary:Behavioral,type
http://bio2rdf.org/clinicaltrials_vocabulary:Biological,type
http://bio2rdf.org/clinicaltrials_vocabulary:Case,type
http://bio2rdf.org/clinicaltrials_vocabulary:Category,type
http://bio2rdf.org/clinicaltrials_vocabulary:City,type
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Arm,type
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Result,type
http://bio2rdf.org/clinicaltrials_vocabulary:Clinical-Study,type
http://bio2rdf.org/clinicaltrials_vocabulary:Condition,type
http://bio2rdf.org/clinicaltrials_vocabulary:Contact,type
http://bio2rdf.org/clinicaltrials_vocabulary:Control,type
http://bio2rdf.org/clinicaltrials_vocabulary:Country,type
http://bio2rdf.org/clinicaltrials_vocabulary:Device,type
http://bio2rdf.org/clinicaltrials_vocabulary:Dietary_Supplement,type
http://bio2rdf.org/clinicaltrials_vocabulary:Drug,type
http://bio2rdf.org/clinicaltrials_vocabulary:Eligibility,type
http://bio2rdf.org/clinicaltrials_vocabulary:Event,type
http://bio2rdf.org/clinicaltrials_vocabulary:Event-Count,type
http://bio2rdf.org/clinicaltrials_vocabulary:Experimental,type
http://bio2rdf.org/clinicaltrials_vocabulary:Genetic,type
http://bio2rdf.org/clinicaltrials_vocabulary:Group,type
http://bio2rdf.org/clinicaltrials_vocabulary:Inclusion-Criteria,type
http://bio2rdf.org/clinicaltrials_vocabulary:Link,type
http://bio2rdf.org/clinicaltrials_vocabulary:Location,type
http://bio2rdf.org/clinicaltrials_vocabulary:Measure,type
http://bio2rdf.org/clinicaltrials_vocabulary:Measurement,type
http://bio2rdf.org/clinicaltrials_vocabulary:Milestone,type
http://bio2rdf.org/clinicaltrials_vocabulary:No_Intervention,type
http://bio2rdf.org/clinicaltrials_vocabulary:Organization,type
http://bio2rdf.org/clinicaltrials_vocabulary:Other,type
http://bio2rdf.org/clinicaltrials_vocabulary:Other-Event,type
http://bio2rdf.org/clinicaltrials_vocabulary:Outcome,type
http://bio2rdf.org/clinicaltrials_vocabulary:Participant-Count,type
http://bio2rdf.org/clinicaltrials_vocabulary:Participant-Flow,type
http://bio2rdf.org/clinicaltrials_vocabulary:Period,type
http://bio2rdf.org/clinicaltrials_vocabulary:Phase,type
http://bio2rdf.org/clinicaltrials_vocabulary:Placebo_Comparator,type
http://bio2rdf.org/clinicaltrials_vocabulary:Procedure,type
http://bio2rdf.org/clinicaltrials_vocabulary:Radiation,type
http://bio2rdf.org/clinicaltrials_vocabulary:Reference,type
http://bio2rdf.org/clinicaltrials_vocabulary:Reported-Events,type
http://bio2rdf.org/clinicaltrials_vocabulary:Responsible-Party,type
http://bio2rdf.org/clinicaltrials_vocabulary:Serious-Event,type
http://bio2rdf.org/clinicaltrials_vocabulary:Sham_Comparator,type
http://bio2rdf.org/clinicaltrials_vocabulary:State,type
http://bio2rdf.org/clinicaltrials_vocabulary:Status,type
http://bio2rdf.org/clinicaltrials_vocabulary:Study-Design,type
http://bio2rdf.org/clinicaltrials_vocabulary:Study-Type,type
http://bio2rdf.org/clinicaltrials_vocabulary:Term,type
http://bio2rdf.org/clinicaltrials_vocabulary:Treatment_Comparison,type
http://bio2rdf.org/clinicaltrials_vocabulary:Withdraw-Reason,type
http://bio2rdf.org/clinicaltrials_vocabulary:ZipCode,type
http://bio2rdf.org/clinicaltrials_vocabulary:other-outcome,type
http://bio2rdf.org/clinicaltrials_vocabulary:primary-outcome,type
http://bio2rdf.org/clinicaltrials_vocabulary:secondary-outcome,type
http://bio2rdf.org/ctd_vocabulary:Chemical,type
http://bio2rdf.org/ctd_vocabulary:Chemical-Disease-Association,type
http://bio2rdf.org/ctd_vocabulary:Chemical-Gene-Association,type
http://bio2rdf.org/ctd_vocabulary:Chemical-Pathway-Association,type
http://bio2rdf.org/ctd_vocabulary:Disease,type
http://bio2rdf.org/ctd_vocabulary:Gene,type
http://bio2rdf.org/ctd_vocabulary:Gene-Disease-Association,type
http://bio2rdf.org/ctd_vocabulary:Pathway,type
http://bio2rdf.org/ctd_vocabulary:clv,type
http://bio2rdf.org/ctd_vocabulary:deg,type
http://bio2rdf.org/ctd_vocabulary:gly,type
http://bio2rdf.org/ctd_vocabulary:lip,type
http://bio2rdf.org/ctd_vocabulary:met,type
http://bio2rdf.org/ctd_vocabulary:rib,type
http://bio2rdf.org/ctd_vocabulary:sec,type
http://bio2rdf.org/ctd_vocabulary:trt,type
http://bio2rdf.org/ctd_vocabulary:upt,type
http://bio2rdf.org/drugbank_vocabulary:Absorption,type
http://bio2rdf.org/drugbank_vocabulary:Affected-organism,type
http://bio2rdf.org/drugbank_vocabulary:Bioavailability,type
http://bio2rdf.org/drugbank_vocabulary:Biotech,type
http://bio2rdf.org/drugbank_vocabulary:Boiling-Point,type
http://bio2rdf.org/drugbank_vocabulary:Caco2-Permeability,type
http://bio2rdf.org/drugbank_vocabulary:Calculated-properties,type
http://bio2rdf.org/drugbank_vocabulary:Carrier,type
http://bio2rdf.org/drugbank_vocabulary:Carrier-Relation,type
http://bio2rdf.org/drugbank_vocabulary:Category,type
http://bio2rdf.org/drugbank_vocabulary:Clearance,type
