class,instances
Image,14246647
CareerStation,5698867
Person,5056929
TimePeriod,4915627
Species,4824334
Eukaryote,4816878
Animal,4808535
Place,1642816
SportsTeamMember,1506469
Work,1401754
Settlement,1290537
Tenure,1288270
PopulatedPlace,1240212
Athlete,1231877
PersonFunction,1137499
OrganisationMember,1049557
Agent,874374
Organisation,859417
Politician,698313
Village,677265
ArchitecturalStructure,624998
MusicalWork,538757
SoccerPlayer,536455
Album,506485
Film,481903
Taxon,460093
Building,370626
PoliticalFunction,348568
Event,346933
Infrastructure,282038
Company,276464
SocietalEvent,270214
Town,258618
Artist,251762
Song,245867
WikimediaTemplate,223287
Unknown,223285
WrittenWork,210563
MusicalArtist,209654
NaturalPlace,203179
SportsSeason,181355
TelevisionShow,174372
Station,172471
AdministrativeRegion,166745
Book,161759
Scientist,146758
MeanOfTransportation,145837
EducationalInstitution,142530
Writer,135825
BodyOfWater,133500
SportsEvent,126025
MilitaryPerson,125472
Band,122951
Ship,122662
School,118871
HistoricPlace,118492
Region,116946
SportsTeamSeason,109882
River,105677
Election,97752
Software,97675
SoccerManager,97501
RouteOfTransportation,96104
Insect,94952
Cricketer,93941
AmericanFootballPlayer,93221
Road,90371
Mountain,90051
SoccerClub,88718
Group,86459
BaseballPlayer,86178
Device,82774
VideoGame,82605
MilitaryUnit,81282
RugbyPlayer,81034
Stream,79688
University,77484
MotorsportSeason,76007
SportsManager,68345
City,67761
Royalty,67362
SportsClub,66917
AutomobileEngine,66601
GridironFootballPlayer,65196
MilitaryConflict,64946
RadioStation,64815
Broadcaster,63862
BasketballPlayer,63131
FootballLeagueSeason,62881
SoccerClubSeason,62709
Cleric,62623
WinterSportPlayer,62005
Tournament,60779
PeriodicalLiterature,59827
Engine,56951
Activity,56916
NCAATeamSeason,56877
Venue,56873
IceHockeyPlayer,56175
ReligiousBuilding,55249
MilitaryService,54748
Single,53047
ChemicalSubstance,52837
CelestialBody,52744
Cyclist,48822
Sales,48663
FictionalCharacter,47278
PoliticalParty,46824
RailwayStation,45771
HistoricBuilding,45724
Airport,45369
ProtectedArea,43027
Academic,42700
AustralianRulesFootballPlayer,42432
Award,42191
SoccerTournament,41671
ChemicalCompound,41406
Sound,40518
Automobile,38992
Artwork,38470
Museum,36043
CollegeCoach,35353
GovernmentAgency,34829
TelevisionEpisode,34304
Disease,33946
Island,33425
CityDistrict,32205
TennisPlayer,31184
Newspaper,31096
Language,30874
Swimmer,30549
