element,count
wd:Q5,6872
wd:Q6581072,1509
wd:Q515,1278
wd:Q15978631,1275
wd:Q3918,1247
wd:Q11696,1245
wd:Q11424,1159
wd:Q33506,953
wd:Q6256,629
wd:Q13442814,606
wd:Q213,502
wd:Q146,499
wd:Q33999,488
wd:Q4830453,477
wd:Q486972,465
wd:Q577,464
wd:Q16970,411
wd:Q811534,397
wd:Q3305213,393
wd:Q82955,378
wd:Q2526255,374
wd:Q16521,355
wd:Q55488,350
wd:Q5398426,343
wd:Q23442,327
wd:Q571,311
wd:Q4167410,298
wd:Q36180,297
wd:Q6581097,291
wd:Q7187,275
wd:Q484170,271
wd:Q3044918,271
wd:Q1939555,266
wd:Q11344,256
wd:Q3624078,249
wd:Q4167836,249
wd:Q668,236
wd:Q12136,219
wd:Q8502,217
wd:Q2095,210
wd:Q34770,209
wd:Q41176,178
wd:Q16707842,166
wd:Q39715,164
wd:Q139677,154
wd:Q7075,153
wd:Q783794,150
wd:Q811979,149
wd:Q185441,148
wd:Q144,145
wd:Q532,145
wd:Q1248784,144
wd:Q215380,142
wd:Q43229,139
wd:Q548611,136
wd:Q15284,135
wd:Q82594,135
wd:Q7889,126
wd:Q7397,125
wd:Q937857,124
wd:Q11173,117
wd:Q11032,115
wd:Q10873124,112
wd:Q5153359,111
wd:Q9259,108
wd:Q177220,106
wd:Q4164871,103
wd:Q56061,101
wd:Q36784,97
wd:Q639669,96
wd:Q901,95
wd:Q13406463,94
wd:Q10864048,93
wd:Q43501,92
wd:Q11266439,92
wd:Q14204246,91
wd:Q482980,90
wd:Q101352,89
wd:Q4022,89
wd:Q2074737,89
wd:Q46169,88
wd:Q6465,88
wd:Q3024240,87
wd:Q5107,81
wd:Q5119,80
wd:Q1221156,80
wd:Q14839548,79
wd:Q36834,78
wd:Q34442,77
wd:Q49757,76
wd:Q4964182,76
wd:Q44613,76
wd:Q483501,75
wd:Q21191270,72
wd:Q28968511,71
wd:Q17334923,71
wd:Q838948,71
wd:Q10800557,71
wd:Q2977,71
wd:Q29964144,70
wd:Q18616576,69
wd:Q7191,69
wd:Q1028181,68
wd:Q150,67
wd:Q7275,67
wd:Q253019,67
wd:Q382617,65
wd:Q178561,64
wd:Q1930187,64
wd:Q21198,64
wd:Q15416,63
wd:Q95074,62
wd:Q4610556,62
wd:Q15238777,62
wd:Q2860456,62
wd:Q28640,61
wd:Q17362920,61
wd:Q1860,61
wd:Q928830,60
wd:Q262166,60
wd:Q15184295,59
wd:Q747074,58
wd:Q482994,58
wd:Q7432,58
wd:Q13100073,58
wd:Q860861,58
wd:Q19546,57
wd:Q1190554,57
wd:Q79007,57
wd:Q34379,57
wd:Q11631,57
wd:Q3863,56
wd:Q9143,56
wd:Q523,56
wd:Q12078,54
wd:Q744099,54
wd:Q19842659,54
wd:Q362,53
wd:Q35120,53
wd:Q647,53
wd:Q12737077,52
wd:Q4220920,52
wd:Q355304,52
wd:Q87167,52
wd:Q26529,52
wd:Q11446,52
wd:Q3914,51
wd:Q11303,51
wd:Q202444,51
wd:Q427492,51
wd:Q12308941,50
wd:Q27169,50
wd:Q341,49
wd:Q12813115,49
wd:Q20010800,49
wd:Q8142,48
wd:Q638,48
wd:Q23413,48
wd:Q4018,48
wd:Q702842,47
wd:Q1510380,47
wd:Q729,47
wd:Q200092,47
wd:Q166542,47
wd:Q3957,46
wd:Q18912794,46
wd:Q7278,45
wd:Q11879590,45
wd:Q1420,45
wd:Q160016,45
wd:Q2285706,45
wd:Q4663903,45
wd:Q46970,45
wd:Q2484376,45
wd:Q39614,44
wd:Q3331189,44
wd:Q68,44
wd:Q46831,44
wd:Q7725634,43
wd:Q2085381,43
wd:Q15893266,43
wd:Q27971968,43
wd:Q21191019,43
wd:Q726,43
wd:Q17633526,42
wd:Q4175034,41
wd:Q8261,41
wd:Q131734,41
wd:Q308292,41
wd:Q387917,40
wd:Q82794,40
wd:Q37447,40
wd:Q618123,40
wd:Q18338317,40
wd:Q3947,40
wd:Q3282637,39
wd:Q7366,39
wd:Q15632617,39
wd:Q1931388,39
wd:Q484652,39
wd:Q25379,38
wd:Q1989839,38
wd:Q3917681,38
wd:Q1234255,37
wd:Q39367,37
wd:Q12518,37
wd:Q644687,37
wd:Q2989454,36
wd:Q1093580,36
wd:Q31209114,36
wd:Q403,36
wd:Q22927616,35
wd:Q361,35
wd:Q21077852,35
wd:Q358,35
wd:Q22667,35
wd:Q25276,35
wd:Q42973,35
wd:Q636497,34
wd:Q408,34
wd:Q16917,34
wd:Q12280,34
wd:Q3191695,34
wd:Q11060274,34
wd:Q215627,34
wd:Q188,34
wd:Q856076,34
wd:Q839954,34
wd:Q13390680,34
wd:Q62447,34
wd:Q294414,34
wd:Q849424,34
wd:Q30461,34
wd:Q23058,33
wd:Q70208,33
wd:Q1075,33
wd:Q385405,33
wd:Q1107,33
wd:Q214917,32
wd:Q2221906,32
wd:Q188451,32
wd:Q192611,32
wd:Q1711695,32
wd:Q202216,32
wd:Q2225692,32
wd:Q878985,32
wd:Q10876391,32
wd:Q132050,32
wd:Q32880,32
wd:Q1616075,32
wd:Q23019040,31
wd:Q30092755,31
wd:Q5741069,31
wd:Q35657,30
wd:Q170790,29
wd:Q41298,29
wd:Q3199141,29
wd:Q1110794,29
wd:Q6636,29
wd:Q48352,29
wd:Q719487,29
wd:Q3408484,29
wd:Q8054,29
wd:Q198,28
wd:Q22698,28
wd:Q3700011,28
wd:Q23397,28
wd:Q81096,28
wd:Q2309784,28
wd:Q2583015,28
wd:Q44,27
wd:Q3966183,27
wd:Q3314483,27
wd:Q568683,27
wd:Q4285979,27
wd:Q150093,26
wd:Q289,26
wd:Q350604,26
wd:Q179700,26
wd:Q640506,26
wd:Q1364,26
wd:Q79529,26
wd:Q47574,26
wd:Q1002697,25
wd:Q467,25
wd:Q149086,25
wd:Q40348,25
wd:Q7138926,25
wd:Q245188,25
wd:Q811165,25
wd:Q16533,25
wd:Q14660,25
wd:Q735428,25
wd:Q207694,24
wd:Q930752,24
wd:Q8072,24
wd:Q2001305,24
wd:Q37144,24
wd:Q27032320,24
wd:Q22865,24
wd:Q9826,24
wd:Q11703715,24
wd:Q476028,24
wd:Q328468,24
wd:Q1656682,23
wd:Q1968435,23
wd:Q11639,23
wd:Q11633,23
wd:Q27686,23
wd:Q649434,23
wd:Q2066131,23
wd:Q35637,23
wd:Q18614948,23
wd:Q44782,23
wd:Q1595639,23
wd:Q206615,23
wd:Q1123245,23
wd:Q169470,23
wd:Q15978299,23
wd:Q916475,23
wd:Q1496967,23
