Q5	human
Q142	France
Q515	city
Q571	book
Q1004	comic
Q3918	university
Q6256	country
Q7366	song
Q7397	software
Q11424	film
Q11696	President of the United States of America
Q16970	church
Q33506	museum
Q33999	actor
Q215380	band
Q482994	album
Q486972	human settlement
Q2431196	audiovisual work
Q3305213	painting
Q3464665	TV series season
Q4220917	film award
Q4830453	business enterprise
Q5398426	television series
Q6581072	female
Q7725634	literary work
Q13442814	scientific article
Q15642541	human-geographic territorial entity
Q15978631	Homo sapiens
Q21191270	TV series episode
