class,instances
Q13442814,4861842
Q4167836,4049094
Q5,3562978
Q16521,2213939
Q4167410,1219877
Q11266439,857910
Q7187,679372
Q13100073,588487
Q8502,474982
Q8054,450786
Q486972,408406
Q4022,387286
Q54050,293037
Q532,292180
Q79007,272070
Q13406463,260609
Q17329259,254104
Q3305213,224912
Q101352,218067
Q23397,213989
Q17633526,210542
Q482994,200588
Q11424,198056
Q355304,174781
Q11173,156724
Q4830453,132223
Q47521,120146
Q5084,119325
Q23442,118303
Q41176,108419
Q16970,105363
Q3863,102686
Q571,92226
Q985488,89890
Q2225692,84522
Q3947,82244
Q134556,81049
Q55488,80887
Q427087,72108
Q215380,62815
Q19389637,61281
Q2341654,60650
Q39816,60206
Q34442,55198
Q1539532,54127
Q23038290,53568
Q3558970,51830
Q4423781,46639
Q5398426,43752
Q5633421,42624
Q26211545,41786
Q12323,40252
Q7366,39346
Q277338,39257
Q484170,38473
Q43229,37627
Q15416,37426
Q5185279,37250
Q9842,37110
Q124714,36983
Q24529780,36197
Q34023,35786
Q253019,33711
Q27020041,33707
Q179700,33535
Q811979,33444
Q7889,33172
Q18340514,33121
Q23925393,32031
Q2996394,31302
Q476028,31003
Q489357,30785
Q17343829,30172
Q5783996,27956
Q11753321,26541
Q21672098,26386
Q192287,26018
Q13220204,25435
Q1248784,24615
Q14350,24404
Q34763,24371
Q187971,23727
Q20900710,23146
Q9826,22623
Q123705,22508
Q3257686,22271
Q30198,21850
Q12284,21811
Q41298,21221
Q22698,21127
Q417841,20912
Q515,20743
Q176799,20689
Q24046192,20547
Q93184,20415
Q17519152,19998
Q11446,19814
Q21191270,19793
Q735428,19605
Q2514025,19208
Q634099,19142
Q33506,18950
Q187223,18858
Q191067,18783
Q3914,18426
Q42195,18258
Q12308941,18100
Q1529096,17521
Q2593777,17317
Q2042028,17196
Q860861,17179
Q2334719,17129
Q740445,17067
Q39594,17037
Q17018380,16699
Q482,16228
Q19692072,16206
Q7321974,15689
Q23413,15593
Q1002697,15580
Q4164871,15566
Q7725634,15444
Q618779,15230
Q7278,15150
Q839954,15107
Q11032,14834
Q39614,14688
Q207326,14688
Q15632617,14517
Q20667187,14251
Q222910,13964
Q50231,13911
Q11060274,13822
Q20541692,13727
Q459297,13576
Q3918,13434
Q3957,13234
Q131681,13185
Q12280,13078
Q506240,13076
Q523,12903
Q732577,12658
Q1500350,12439
Q95074,12337
Q3331189,12178
Q209939,12075
Q102496,11909
Q7397,11888
Q14204246,11605
Q8274,11599
Q24862,11579
Q262166,11225
Q178561,11108
Q18663566,11105
Q965568,11086
Q26267864,11012
Q1115575,10923
Q11879590,10736
Q847017,10635
Q169930,10627
Q318,10575
Q2732840,10397
Q166735,10234
Q46831,10139
Q179049,10132
Q4414033,10120
Q21199,10106
Q498162,10047
Q2389082,10020
Q751876,9994
Q207524,9975
Q163740,9879
Q40231,9782
Q3464665,9697
Q184358,9635
Q21286738,9619
Q898273,9581
Q12136,9576
Q3700011,9555
Q310890,9504
Q618123,9436
Q14860489,9413
Q16917,9386
Q728937,9324
Q40080,9061
Q1497375,8962
Q34770,8953
Q25379,8747
Q108325,8624
Q16560,8615
Q159334,8582
Q46686,8449
Q35127,8411
Q928830,8353
Q14659,8350
Q13417114,8332
Q29701762,8332
Q17051044,8318
Q4421,8225
Q327333,8211
Q2074737,8135
Q226730,8127
Q747074,8115
Q10870555,7897
Q27686,7894
Q479053,7775
Q26840222,7738
Q44613,7256
Q34038,7255
Q986065,7232
Q15303838,7174
Q3231690,7131
Q133056,6972
Q202444,6934
Q7075,6928
Q17362920,6927
Q4663903,6900
Q41710,6788
Q101687,6760
Q30092776,6748
Q18536594,6708
Q18127,6677
Q4285979,6629
Q577,6569
Q2023000,6559
Q1077097,6507
Q820477,6500
Q1134686,6483
Q3395377,6457
Q149566,6456
Q273057,6451
Q35666,6392
Q12488913,6276
Q5153359,6260
Q174782,6199
Q1620797,6199
Q1616075,6168
Q2085381,6072
Q15127012,6051
Q28197061,5982
Q3937,5926
Q205892,5874
Q32815,5827
Q41253,5806
Q3887,5739
Q5691113,5708
Q14660,5679
Q398141,5659
Q736917,5620
Q160091,5591
Q48204,5589
Q23927052,5586
Q3184121,5569
Q185113,5513
Q101401,5499
Q811534,5497
Q24354,5492
Q207628,5404
Q1076486,5396
Q19832486,5343
Q18123885,5197
Q1555508,5134
Q3950,5123
Q18123880,5114
Q1302249,5108
Q18761202,5098
Q4989906,5067
Q39715,5045
Q180684,5041
Q13366104,5026
Q13366129,5009
Q483110,5005
Q2334148,4929
Q16466010,4917
Q5393308,4849
Q16887036,4822
Q1131296,4782
Q184188,4754
Q3240003,4735
Q49084,4731
Q20871353,4630
Q13219666,4617
Q35509,4579
Q15630849,4545
Q3812392,4529
Q83620,4523
Q1344,4494
Q28640,4474
Q473972,4451
Q28337,4451
Q46970,4435
Q87167,4428
Q1142192,4422
Q333291,4416
Q14839548,4409
Q10855242,4382
Q8047,4344
Q11315,4334
Q879050,4332
Q210723,4312
Q2831984,4300
